Person,Indikativ,Konjunktiv
1. Person Singular,ich laufe,ich laufe
2. Person Singular,du läufst,du laufest
3. Person Singular,er/sie/esläuft,er/sie/eslaufe
1. Person Plural,wir laufen,wir laufen
2. Person Plural,ihr lauft,ihr laufet
3. Person Plural,sie laufen,sie laufen
1. Person Singular,ich lief,ich liefe
2. Person Singular,du liefst,du liefest
3. Person Singular,er/sie/eslief,er/sie/esliefe
1. Person Plural,wir liefen,wir liefen
2. Person Plural,ihr lieft,ihr liefet
3. Person Plural,sie liefen,sie liefen
